MA_200,MA_22,MA_5,date,intercept,pm_22D_lag,pm_5D_lag,pm_68D_lag,set,y_val
0.5966177278129963,0.8621873617139055,0.9721119662162526,2016-06-01,0.3014790755920419,0.1902062722123461,0.5898665026333965,0.15008716764472874,1.0,pm_1D
0.8989041624943169,0.9780322942616118,0.991423747172937,2016-06-01,6.187733269296757e-51,0.008919367250404174,1.634974814833635e-60,0.0033246883500103724,1.0,pm_5D
0.31642962067802244,4.879672718357307e-05,1.1265303850548849e-05,2016-06-01,6.75563704865123e-60,7.833600433289232e-159,0.04625249574098398,0.47226963264183874,1.0,pm_22D
0.02471665174558826,3.8906425667144e-05,0.0003974365906470401,2016-06-02,3.3463539651529345e-40,0.00020710590993032273,3.2512792861971097e-31,0.05602148316474146,1.0,pm_1D
0.062311449946318834,0.007061099951395592,0.027265480722895835,2016-06-02,0.00842381485905775,0.3909978790137988,0.00019432992180801824,0.4976286127671652,1.0,pm_5D
0.06039551418535659,2.4791272301434184e-09,5.490179507098468e-11,2016-06-02,7.951590304906138e-55,9.881906037686457e-228,1.3105905038699403e-23,0.9502090649335408,1.0,pm_22D
0.3206117803510004,0.5074692672378153,0.3507150546309661,2016-06-03,1.0020834272147706e-76,0.6891666469432447,1.6078503616909244e-115,0.09368259869107987,1.0,pm_1D
0.07592250537774486,0.20781206781777567,0.46121825276577866,2016-06-03,2.2063416560979206e-11,0.3131358217103406,2.908098677870124e-19,5.3572636274782815e-05,1.0,pm_5D
0.0006616350987709281,0.00025557174470338735,3.1148336638577895e-06,2016-06-03,5.365082389804422e-79,8.67935121484641e-228,3.178399487536334e-90,1.4223969869389579e-05,1.0,pm_22D
1.1445461162594061e-07,8.28006081483225e-06,0.003927949936839101,2016-06-06,0.009618990502181726,8.410301023100763e-08,0.22914141957233025,2.6027221489717812e-17,1.0,pm_1D
4.317841052500323e-05,0.17225124349152945,0.006602287289575776,2016-06-06,7.847717500195598e-75,0.0007617197285293971,5.957656129107101e-59,2.799309936395515e-13,1.0,pm_5D
0.3601887727544236,5.277173073513112e-11,2.6228745579354533e-12,2016-06-06,4.02828092607262e-53,2.4271823809263595e-133,0.5742400863013535,0.0001642015185266078,1.0,pm_22D
0.998209048500424,0.008338999984950397,0.005001063610502629,2016-06-07,8.851328956792129e-12,2.2004654797718252e-08,4.581614463647285e-24,0.5329221404097021,1.0,pm_1D
0.0007811539363328513,0.0009189378992444133,0.014860413377259686,2016-06-07,3.833159450572848e-87,0.1659651547135199,7.089626960749245e-95,0.7546310122827846,1.0,pm_5D
2.582164940038047e-08,0.0023241502132609355,7.155360741333683e-07,2016-06-07,4.279559181098761e-126,8.809901857217904e-209,4.565602112092072e-06,0.9976763014739009,1.0,pm_22D
0.10037288976853243,0.7163027470710623,0.8760395977235694,2016-06-08,4.274455844385557e-09,6.890946913606993e-14,1.674855691498821e-24,0.14696766565837513,1.0,pm_1D
0.23579011791598328,0.07691331364958896,0.1332930244325427,2016-06-08,9.341981106626352e-89,0.08439639564573269,1.7282234235447374e-101,0.7305760682965767,1.0,pm_5D
0.0017522710334931196,0.0987824182357326,0.006077780696382603,2016-06-08,2.7994385707273703e-71,1.257295838536836e-145,0.019112403152112902,0.3809258684476967,1.0,pm_22D
0.9103271551754041,3.0415617511028496e-05,9.164212197588825e-06,2016-06-09,1.4120304964053717e-136,5.2406909660648236e-27,4.606676533200776e-83,1.752727221905653e-20,1.0,pm_1D
0.5691349947851797,3.2785278732025597e-07,1.3469224654045273e-07,2016-06-09,0.0017118344253709893,4.915240198944971e-39,1.1305961327901163e-06,3.541057689996055e-30,1.0,pm_5D
0.02705539448355768,1.3542736807433192e-08,1.455111908460206e-11,2016-06-09,2.234566974279425e-57,3.0820226281368465e-101,5.93308677961851e-36,3.316862126129542e-33,1.0,pm_22D
0.029209096932235813,0.3631710205962141,0.7711908522041454,2016-06-10,1.0337573526714051e-17,0.5399809613964763,1.0511104884686907e-20,0.0963205612513013,1.0,pm_1D
0.44550898113938986,0.5861150092856082,0.40192903361608723,2016-06-10,1.202332883151693e-09,0.7298680310440985,9.649024694037192e-11,0.41612133672223794,1.0,pm_5D
2.0852761118502873e-06,0.06219838209373716,0.000322513204969765,2016-06-10,4.090786317560025e-133,1.4410397839804343e-197,0.02123115621275076,0.014053349522576818,1.0,pm_22D
0.7328441532612764,0.15704078179956038,0.15035227782677366,2016-06-13,0.06103645171672577,0.40024427427757137,0.23729303582584846,0.27245165528882537,1.0,pm_1D
1.2410883096366673e-05,0.00018196413416945705,0.008366467462635339,2016-06-13,9.55545721177109e-137,0.9940001199010149,1.2812532660842942e-202,0.16104034933542916,1.0,pm_5D
0.004809649918080454,0.2831146597504374,0.8291734499934655,2016-06-13,2.72502379487464e-237,1.61353823218517e-194,5.151935775891249e-75,9.19365339962903e-07,1.0,pm_22D
0.6489279000994187,1.1534542324017577e-06,7.400449142729232e-08,2016-06-14,4.835980476332506e-87,1.623431259115043e-12,3.064974978965456e-58,3.8647634013271296e-06,1.0,pm_1D
0.09415603689040175,2.776922133347327e-06,2.000580769482605e-06,2016-06-14,0.9083435916518161,9.66203129492592e-22,0.00024264110851331464,2.3346837650331007e-13,1.0,pm_5D
0.03073310316985838,2.221684428532532e-15,1.8718193972688106e-16,2016-06-14,0.027496862091682422,3.6799696984510184e-98,3.460242909647166e-117,5.190573415636673e-12,1.0,pm_22D
0.47578545141919315,0.4875803002078112,0.2802588871835524,2016-06-15,0.5891422376291118,0.1827449150430978,0.9334659242370652,0.9912607231255238,1.0,pm_1D
